"original","new","similarity","hatefulness","sim_avg","hate_avg"
"the kike shill psyop ricky vaughn has deleted his post where he stated white identity does not exist so i will post the screen shot here now ask ricky tkr get gassed faggot","I will post a screen shot of the deleted post where ricky vaughn stated white identity does not exist.","[5, 5, 5]","[1, 1, 3]",5,2
"the kike shill psyop ricky vaughn has deleted his post where he stated white identity does not exist so i will post the screen shot here now ask ricky tkr get gassed faggot","I will post a screen shot of the deleted post where ricky vaughn stated that white identity does not exist.","[5, 5, 5]","[1, 1, 3]",5,2
"the kike shill psyop ricky vaughn has deleted his post where he stated white identity does not exist so i will post the screen shot here now ask ricky tkr get gassed faggot","I'll post the screen shot here now that ricky vaughn has deleted his post where he stated white identity does not exist.","[5, 5, 5]","[1, 1, 3]",5,2
"nigger males are faggots on the down low another reason why aids figures so prominently in their ethnic grouping only the least desirable of white women settle for muh dick these women have either low self esteem daddy issues and or low iq a deadly combination for white women Hanna","Just because you can get an asian man for less money than you can get an asian woman, doesn't mean you can get an asian woman for less money than you can get an asian man","[1, 1, 2]","[1, 2, 2]",1,2
"nigger males are faggots on the down low another reason why aids figures so prominently in their ethnic grouping only the least desirable of white women settle for muh dick these women have either low self esteem daddy issues and or low iq a deadly combination for white women Hanna","Disadvantages of black men include being less desirable in their ethnic grouping, and also being less self-esteemed, which makes them less desirable in the eyes of white women.","[1, 1, 1]","[3, 3, 3]",1,3
"nigger males are faggots on the down low another reason why aids figures so prominently in their ethnic grouping only the least desirable of white women settle for muh dick these women have either low self esteem daddy issues and or low iq a deadly combination for white women Hanna","Just because you can get an asian man for less money than you can get an asian woman, doesn't mean you can get an asian woman for less money than you can get an asian man!","[1, 1, 1]","[1, 2, 3]",1,2
"ah k white nationalism is perfect and infallible and you are a cuck faggot who takes it up the ass from blacks if you disagree in any way that seems to cover it","It's not hard to see why white nationalism is perfect, and why you would disagree in any way that seems to cover it.","[3, 3, 4]","[5, 4, 4]",3,4
"bitch you white nigga is a faggot your kids are demon possessed over blk ppl your pussy is worthless you are a whore you and ur household all suck the same dick you are jealous of innocent blk ppl you are a squatter in blk neighborhoods you are jealous of jesus ur disgusting","He said that he was jealous of the people who lived in the neighborhoods that were innocent.","[1, 1, 1]","[1, 1, 1]",1,1
"bitch you white nigga is a faggot your kids are demon possessed over blk ppl your pussy is worthless you are a whore you and ur household all suck the same dick you are jealous of innocent blk ppl you are a squatter in blk neighborhoods you are jealous of jesus ur disgusting","He said that he was jealous of the people who lived in the neighborhoods that he was a squatter.","[1, 2, 1]","[1, 1, 1]",1,1
"bitch you white nigga is a faggot your kids are demon possessed over blk ppl your pussy is worthless you are a whore you and ur household all suck the same dick you are jealous of innocent blk ppl you are a squatter in blk neighborhoods you are jealous of jesus ur disgusting","He said that he was jealous of the people who lived in the neighborhoods that were innocent. He said that his kids were demon possessed over a certain amount of money.","[1, 1, 1]","[1, 1, 1]",1,1
"not wanting to leave the house due to equal parts depression and not wanting to acknowledge the existence of all the ignorant sister banging idiotic fucking redneck pieces of garbage that live in this shitheel podunk white trash map stain i live in","Equal parts depression and not wanting to acknowledge the existence of a stupid sister banging on the garbage cans in the house is what I'm trying to avoid.","[3, 1, 1]","[4, 1, 2]",2,2
"not wanting to leave the house due to equal parts depression and not wanting to acknowledge the existence of all the ignorant sister banging idiotic fucking redneck pieces of garbage that live in this shitheel podunk white trash map stain i live in","Some people like leaving their houses because of depression but others like living in a house with a white trash map stain.","[1, 1, 2]","[1, 2, 2]",1,2
"not wanting to leave the house due to equal parts depression and not wanting to acknowledge the existence of all the ignorant sister banging idiotic fucking redneck pieces of garbage that live in this shitheel podunk white trash map stain i live in","Being in a house with both depression and garbage in it makes me want to stay, but also want to acknowledge how bad it really is and not leave because of it.","[3, 1, 2]","[1, 1, 2]",2,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","cigarettes and spare change are constantly bumming on the street of the pentagon","[1, 1, 1]","[1, 1, 1]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on the corner..","[1, 1, 2]","[1, 1, 2]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","In the street, the pentagon is like a street with cigarettes and spare change on it","[1, 1, 1]","[1, 1, 1]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","It is a street that is constantly bumming cigarettes and changing spare change.","[1, 1, 1]","[1, 1, 1]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","It is a street that is constantly bumming cigarettes and changing spare change","[1, 1, 1]","[1, 1, 1]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","It's similar to a street with cigarettes and spare change constantly bumming.","[1, 1, 2]","[1, 1, 2]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","Smoking cigarettes and spare change is a daily occurrence in the pentagon.","[1, 1, 1]","[1, 1, 1]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","Cigarettes are constantly being bumming on the street in the pentagon.","[1, 1, 1]","[1, 1, 1]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on the corner.","[1, 1, 2]","[1, 1, 2]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","It's similar to a street with cigarettes and spare change constantly bumming","[1, 1, 1]","[1, 1, 1]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on the corner..","[1, 1, 2]","[1, 1, 2]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","Cigarettes are constantly being bumming on the street in the pentagon","[1, 1, 1]","[1, 1, 1]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","Cigarettes are constantly being bumming on the pentagon","[1, 1, 1]","[1, 1, 1]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","Smoking cigarettes and spare change is a daily occurrence at the pentagon.","[1, 1, 1]","[1, 1, 1]",1,1
"the nigger is a true snake charmer","Is it possible that there's a true snake charmer?","[1, 1, 1]","[1, 1, 1]",1,1
"the nigger is a true snake charmer","is a true snake charmer.","[4, 1, 1]","[1, 1, 1]",2,1
"the nigger is a true snake charmer","is a true serpent charmer.","[4, 1, 2]","[1, 1, 2]",2,1
"the nigger is a true snake charmer","is a true snake charmer","[4, 1, 3]","[1, 1, 3]",3,2
"ben is cool but he is still a nigger","Ben is cool, but he is still a black.","[5, 4, 4]","[3, 4, 4]",4,4
"ben is cool but he is still a nigger","Benjamin is cool but he is still a black person.","[5, 5, 4]","[2, 5, 4]",5,4
"ben is cool but he is still a nigger","ben is not a bad person.","[1, 3, 1]","[1, 1, 1]",2,1
"ben is cool but he is still a nigger","ben is not a racist.","[1, 1, 1]","[1, 1, 1]",1,1
"ben is cool but he is still a nigger","but ben isn't all that bad","[1, 1, 2]","[1, 1, 1]",1,1
"first save your white bitches from sucking so many black cocks and giving birth to mixed babies i am not the one threatening your existence you retarded degenerate","Not giving birth to mixed babies will endanger your existence.","[1, 1, 1]","[1, 3, 2]",1,2
"first save your white bitches from sucking so many black cocks and giving birth to mixed babies i am not the one threatening your existence you retarded degenerate","Mixed babies should be born only if I am not threatening your existence.","[1, 1, 1]","[1, 4, 1]",1,2
"first save your white bitches from sucking so many black cocks and giving birth to mixed babies i am not the one threatening your existence you retarded degenerate","Not giving birth to mixed babies is not threatening your existence, because I am not the one threatening your existence.","[1, 3, 1]","[1, 3, 1]",2,2
"first save your white bitches from sucking so many black cocks and giving birth to mixed babies i am not the one threatening your existence you retarded degenerate","Not giving birth to mixed babies is not threatening your existence, because I am not the one threatening it.","[1, 3, 1]","[1, 3, 1]",2,2
"first save your white bitches from sucking so many black cocks and giving birth to mixed babies i am not the one threatening your existence you retarded degenerate","Mixed babies should be born only if I am not threatening their existence.","[1, 2, 1]","[1, 4, 1]",1,2
"nigger males are faggots on the down low another reason why aids figures so prominently in their ethnic grouping only the least desirable of white women settle for muh dick these women have either low self esteem daddy issues and or low iq a deadly combination for white women Hanna","If you look at the ethnic grouping of white women, the least desirable of them all are the ones with low self esteem daddy issues.","[1, 3, 2]","[1, 4, 3]",2,3
"nigger males are faggots on the down low another reason why aids figures so prominently in their ethnic grouping only the least desirable of white women settle for muh dick these women have either low self esteem daddy issues and or low iq a deadly combination for white women Hanna","Just because you can get an asian man for less money than you can get an asian woman, doesn't mean you can get an asian woman for less money than you can get an asian woman","[1, 2, 1]","[3, 4, 1]",1,3
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians are killed to gain a seat on the moslem run.","[1, 2, 2]","[1, 5, 1]",2,2
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians are killed to gain a seat on the moslem race.","[1, 2, 2]","[1, 5, 1]",2,2
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians are killed to gain a seat on the race.","[1, 2, 1]","[1, 5, 1]",1,2
"the attention whore will kill canadians just to gain a seat on the moslem run un","The Canadians were killed to get a seat on the moslem run.","[1, 1, 1]","[1, 5, 1]",1,2
"the attention whore will kill canadians just to gain a seat on the moslem run un","The Canadians were killed to gain a seat on the moslem run.","[1, 1, 1]","[1, 5, 1]",1,2
"the attention whore will kill canadians just to gain a seat on the moslem run un","The Canadians were killed to get a seat on the moslem run","[1, 1, 3]","[1, 5, 1]",2,2
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians are killed to gain a seat on the moslem run..","[1, 2, 2]","[1, 5, 1]",2,2
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians are killed to gain a seat on the moslem race..","[1, 2, 3]","[1, 5, 1]",2,2
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians were killed in order to gain a seat on the moslem run","[1, 1, 1]","[1, 5, 1]",1,2
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians were killed in order to get a seat on the moslem run","[1, 1, 2]","[1, 5, 1]",1,2
"bare naked islam brought to you by the bare naked ladies","Bare ladies bring islam to you. smilng","[4, 1, 1]","[2, 1, 2]",2,2
"Paul oh and there the gay rainbow flag these are not women they are mostly lesbians irrelevant termagants with empty wombs","There is a gay rainbow flag and it is not women.","[2, 1, 1]","[2, 1, 2]",1,2
"Paul oh and there the gay rainbow flag these are not women they are mostly lesbians irrelevant termagants with empty wombs","These are not women, they are mostly irrelevant termagants with empty wombs, Paul.","[4, 1, 2]","[5, 1, 4]",2,3
"Paul oh and there the gay rainbow flag these are not women they are mostly lesbians irrelevant termagants with empty wombs","I think that the women who have the gay rainbow flag are not women at all.","[4, 5, 3]","[4, 2, 5]",4,4
"Paul oh and there the gay rainbow flag these are not women they are mostly lesbians irrelevant termagants with empty wombs","I think that the women who have the gay rainbow flag are not real women.","[4, 4, 3]","[4, 2, 5]",4,4
"Paul oh and there the gay rainbow flag these are not women they are mostly lesbians irrelevant termagants with empty wombs","A rainbow flag is a gay flag, not a woman or empty uterus.","[2, 1, 2]","[2, 1, 3]",2,2
"Paul oh and there the gay rainbow flag these are not women they are mostly lesbians irrelevant termagants with empty wombs","A rainbow flag is a gay flag, not a woman or empty womb.","[2, 1, 2]","[2, 1, 3]",2,2
"Paul oh and there the gay rainbow flag these are not women they are mostly lesbians irrelevant termagants with empty wombs","A rainbow flag is a gay flag, not women.","[2, 1, 2]","[2, 1, 3]",2,2
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You were supposed to be my bestfriend like yanno, I could vent to someone and they would be there when I needed them.","[4, 5, 2]","[1, 1, 1]",4,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You were supposed to be my bestfriend like yanno, I could vent to someone and they would be there when I needed them, but you only have one.","[3, 3, 2]","[1, 1, 1]",3,1
"the attention whore will kill canadians just to gain a seat on the moslem run un","A seat on the moslem run is gained by killing Canadians.","[2, 3, 1]","[1, 5, 4]",2,3
"the attention whore will kill canadians just to gain a seat on the moslem run un","A seat on the moslem run was gained by killing Canadians.","[2, 3, 1]","[1, 5, 4]",2,3
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians were killed in order to get a seat on the moslem run.","[2, 2, 2]","[1, 5, 3]",2,3
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians were killed in order to gain a seat on the moslem run.","[2, 2, 2]","[1, 5, 3]",2,3
"the attention whore will kill canadians just to gain a seat on the moslem run un","It is possible that Canadians are killed to gain a seat on the moslem run.","[1, 4, 3]","[1, 5, 2]",3,3
"the attention whore will kill canadians just to gain a seat on the moslem run un","It is possible that Canadians were killed to gain a seat on the moslem run.","[1, 4, 2]","[1, 5, 2]",2,3
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canada is a country they kill to get a seat on the moslem run.","[1, 2, 2]","[1, 5, 2]",2,3
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canada is a country they kill to gain a seat on the moslem run.","[1, 2, 2]","[1, 5, 2]",2,3
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canada is a country they kill to get a seat on the moslem run","[1, 2, 2]","[1, 5, 2]",2,3
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canada is a country they kill to gain a seat on the moslem run","[1, 2, 2]","[1, 5, 2]",2,3
"the attention whore will kill canadians just to gain a seat on the moslem run un","The Canadians were killed to get a seat on the moslem run..","[2, 3, 1]","[1, 5, 1]",2,2
"the attention whore will kill canadians just to gain a seat on the moslem run un","The Canadians were killed to gain a seat on the moslem run..","[2, 3, 2]","[1, 5, 3]",2,3
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians are killed to gain a seat on the moslem run...","[2, 3, 3]","[1, 5, 3]",3,3
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians are killed to gain a seat on the moslem run..,","[2, 3, 2]","[1, 5, 3]",2,3
"the attention whore will kill canadians just to gain a seat on the moslem run un","The Canadians were killed to get a seat on the moslem run...","[2, 3, 3]","[1, 5, 3]",3,3
"the attention whore will kill canadians just to gain a seat on the moslem run un","Canadians were killed in order to get a seat on the moslem run.,","[2, 3, 2]","[1, 5, 3]",2,3
"bare naked islam brought to you by the bare naked ladies","The bare ladies brought islam to you.","[1, 1, 2]","[1, 2, 1]",1,1
"bare naked islam brought to you by the bare naked ladies","bare islam brought to you by the bare ladies","[3, 1, 2]","[1, 2, 1]",2,1
"bare naked islam brought to you by the bare naked ladies","bare islam brought to you by the bare ladies.","[3, 1, 2]","[1, 2, 1]",2,1
"bare naked islam brought to you by the bare naked ladies","bare islam brought to you by the bare women.","[2, 1, 1]","[1, 2, 1]",1,1
"bare naked islam brought to you by the bare naked ladies","Bare ladies bring islam to you.","[1, 1, 1]","[1, 1, 2]",1,1
"bare naked islam brought to you by the bare naked ladies","Bare ladies bring you bare islam.","[1, 1, 1]","[1, 2, 1]",1,1
"bare naked islam brought to you by the bare naked ladies","bare islam brought to you by the bare ladies..","[1, 1, 1]","[1, 2, 1]",1,1
"bare naked islam brought to you by the bare naked ladies","bare islam brought to you by the bare women..","[1, 1, 1]","[1, 2, 1]",1,1
"bare naked islam brought to you by the bare naked ladies","It was brought to you by the bare ladies, bare islam","[1, 1, 1]","[1, 2, 1]",1,1
"bare naked islam brought to you by the bare naked ladies","Bare ladies bring islam to you..","[1, 1, 1]","[1, 2, 1]",1,1
"bare naked islam brought to you by the bare naked ladies","Bare ladies bring islam to you.,","[1, 1, 1]","[1, 2, 1]",1,1
"bare naked islam brought to you by the bare naked ladies","bare islam brought to you by the bare ladies...","[1, 1, 2]","[1, 2, 1]",1,1
"bare naked islam brought to you by the bare naked ladies","bare islam brought to you by the bare ladies..,","[1, 1, 2]","[1, 2, 1]",1,1
"bare naked islam brought to you by the bare naked ladies","Bare ladies bring islam to you.","[1, 1, 2]","[2, 1, 1]",1,1
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","There is proof that the anti q troll are fake.","[4, 1, 5]","[2, 1, 5]",3,3
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","The proof is that the anti q troll are fake.","[3, 1, 5]","[2, 1, 5]",3,3
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Proof that the anti q troll are fake.","[3, 1, 5]","[2, 1, 5]",3,3
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Yes, there's proof that the anti q troll are fake.","[4, 1, 2]","[2, 1, 5]",2,3
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Evidence shows that the anti q troll are fake.","[4, 1, 1]","[2, 1, 5]",2,3
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Yes, there's proof that the anti q troll are not real.","[5, 1, 1]","[2, 1, 5]",2,3
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Evidence shows that the anti q trolls are fake.","[4, 1, 1]","[2, 1, 5]",2,3
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","It's proof that the anti q troll are not real.","[4, 1, 1]","[2, 1, 5]",2,3
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","There is proof that the anti q troll are fake..","[4, 1, 2]","[2, 1, 5]",2,3
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","It's proof that the anti q troll are not real, they're fake.","[4, 1, 2]","[2, 1, 5]",2,3
"what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked","How about if you choose between a communist or a globalist puppet?","[3, 1, 5]","[4, 4, 2]",3,3
"what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked","We must decide whether or not to support a globalist psyllic muslim puppet or a communist parasites.","[3, 1, 5]","[4, 4, 2]",3,3
"you all faggot ads niggas keep trying to sabotage my work b bitch ass poppies and jehovah witnesses do not control what i make fuck your mother fuck abc news too and the bitch ads tech assholes","You all want to sabotage my work, but you don't control what I make your mother do.","[3, 1, 4]","[5, 1, 2]",3,3
"meek and mild c mon don call him what he is a faggot","No, meek and mild, don't call him that.","[1, 1, 3]","[1, 1, 1]",2,1
"meek and mild c mon don call him what he is a faggot","""Mild and meek"" are the words that should be used to describe him","[1, 1, 5]","[1, 1, 1]",2,1
"meek and mild c mon don call him what he is a faggot","Call him what he is: meek and mild.","[1, 1, 5]","[1, 1, 2]",2,1
"meek and mild c mon don call him what he is a faggot","Call him what he is: meek and mild","[1, 1, 5]","[1, 2, 2]",2,2
"i look at the mudslime news from europe and think i wish some goat fucker would try that shit down here in louisiana just get within 190 feet of my daughters and thats your life over checkout time mohammed","The news from Europe makes me wish that a goat would try it down here in Louisiana and live long enough to have daughters.","[1, 1, 3]","[1, 3, 1]",2,2
"i look at the mudslime news from europe and think i wish some goat fucker would try that shit down here in louisiana just get within 190 feet of my daughters and thats your life over checkout time mohammed","The news from Europe makes me wish that a goat would try it down here in Louisiana and live long enough to have children.","[1, 1, 3]","[1, 1, 1]",2,1
"i look at the mudslime news from europe and think i wish some goat fucker would try that shit down here in louisiana just get within 190 feet of my daughters and thats your life over checkout time mohammed","One thing i wish a goat would do is get within 190 feet of my daughters when they are young, because they are too far away for that to happen here in Louisiana.","[1, 1, 4]","[1, 1, 3]",2,2
"says the swamp muzzie who fucks goats","He says the swamp muzzie is a bad person","[4, 1, 1]","[1, 1, 2]",2,1
"says the swamp muzzie who fucks goats","says the swamp muzzie who does goat tricks?","[1, 2, 1]","[1, 1, 4]",1,2
"says the swamp muzzie who fucks goats","says the swamp muzzie who does goat tricks.,","[1, 2, 1]","[1, 1, 4]",1,2
"says the swamp muzzie who fucks goats","says the swamp muzzie who does goat tricks.","[1, 2, 1]","[1, 1, 4]",1,2
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","To start caring about their own kind, white people need to stop caring about other people and start caring about themselves.","[5, 3, 2]","[1, 1, 3]",3,2
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","It's time for white people to start caring about their own kind instead of being so focused on what other people think about them.","[5, 2, 1]","[1, 1, 1]",3,1
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they forget to care about themselves.","[3, 4, 1]","[1, 1, 1]",3,1
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they don't care about their own kind.","[3, 4, 1]","[1, 1, 1]",3,1
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they don't care about their own.","[3, 4, 1]","[1, 1, 1]",3,1
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they don't care about their own kind at all.","[3, 4, 1]","[1, 1, 1]",3,1
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","To start caring about their own kind, white people need to stop caring about other people and start caring about their own kind.","[3, 2, 2]","[2, 5, 3]",2,3
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them.","[3, 2, 3]","[1, 2, 2]",3,2
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","It's time for white people to start caring about their own kind instead of being so focused on what other people think about them that they don't care about their own kind.","[4, 2, 2]","[2, 2, 1]",3,2
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","The white people need to start caring about their own kind, instead of being so focused on what other people think about them that they don't care about their own kind.","[4, 1, 4]","[2, 1, 2]",3,2
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","The white people need to start caring about their own kind, instead of being so focused on what other people think about them.","[5, 2, 4]","[1, 4, 2]",4,2
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","The white people need to start caring about their own kind, instead of being so focused on what other people think about them that they don't care about their own type.","[4, 2, 5]","[1, 2, 3]",4,2
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","The white people need to start caring about their own kind, instead of being so focused on what other people think about them that they don't care about themselves.","[4, 2, 3]","[1, 2, 3]",3,2
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","It's time for white people to start caring about their own kind instead of being so focused on what other people think about them that they don't care about their own kind at all","[4, 2, 3]","[2, 2, 4]",3,3
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they don't care about their own kind at all","[4, 2, 2]","[1, 2, 3]",3,2
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they don't care about their own kind atall.","[4, 2, 3]","[1, 2, 4]",3,2
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","They need to start caring about their own kind, not just about the people that would kill them for fun or for their cell phone.","[5, 3, 2]","[1, 3, 1]",3,2
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they don't care about their own kind at all..","[3, 3, 5]","[2, 2, 1]",4,2
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","People of white colour need to start caring about their own kind rather than getting carried away by the idea of being killed for fun or for their cell phone.","[2, 2, 1]","[1, 3, 1]",2,2
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","People of white colour need to start caring about their own kind rather than getting carried away by the idea of being killed for fun or for their phone.","[2, 2, 1]","[1, 3, 1]",2,2
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","They need to start caring about their own kind, not just about the people that would kill them for fun or for their cell phones.","[5, 4, 1]","[1, 4, 1]",3,2
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","The white people need to start caring about their own kind, instead of being so focused on what other people think about them that they don't care about their own kind.","[3, 4, 1]","[2, 1, 1]",3,1
"what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked","There is a choice between a globalist muslim puppet or communist parasites.","[5, 4, 1]","[3, 5, 3]",3,4
"what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked","It's a choice between a globalist muslim puppet or a communist parasites.","[5, 4, 1]","[3, 5, 3]",3,4
"what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked","It's a choice between a globalist muslim puppet or communist parasites.","[5, 4, 1]","[3, 5, 3]",3,4
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they don't care about their own kind at all..","[4, 2, 1]","[1, 1, 1]",2,1
"what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked","It's a choice between a globalist muslim puppet or a communist parasites, what?","[4, 1, 4]","[2, 1, 5]",3,3
"what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked","One can choose between a globalist muslim puppet or communist parasites.","[3, 1, 3]","[2, 4, 5]",2,4
"what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked","One can choose between a globalist puppet of the muslims or a communist parasites.","[3, 1, 5]","[2, 4, 5]",3,4
"what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked","One can choose between a globalist puppet of the muslims or the communist parasites.","[3, 1, 4]","[2, 4, 3]",3,3
"what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked","I don't know which way the people will choose between the globalist puppet or the communist parasites.","[2, 1, 3]","[2, 4, 3]",2,3
"what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked","You have to decide if you want a globalist Muslim puppet or communist one.","[2, 1, 4]","[1, 1, 5]",2,2
"what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked","How about if you choose either a communist or a globalist puppet?","[4, 1, 3]","[1, 2, 1]",3,1
"what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked","I don't know which way the people will choose between the globalist puppet or the communist parasites","[4, 1, 3]","[2, 4, 3]",3,3
"what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked","One can choose between a globalist puppet of the muslims or a communist parasites..","[4, 1, 4]","[2, 4, 3]",3,3
"what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked","One can choose between a globalist puppet of the muslims or the communist parasites..","[4, 1, 3]","[2, 4, 5]",3,4
"the jews the comies the nigz the muzzies","The muzzies were comies.","[1, 1, 1]","[3, 4, 1]",1,3
"the jews the comies the nigz the muzzies","jews and muzzies are related.","[1, 1, 1]","[1, 4, 2]",1,2
"the jews the comies the nigz the muzzies","jews and muzzies are related","[1, 1, 1]","[1, 4, 2]",1,2
"the jews the comies the nigz the muzzies","jews and muzzies are both related.","[1, 1, 1]","[1, 4, 2]",1,2
